Id,Id2,Geography,TOT,65UP
1500000US490351114003,4.90351E+11,"Block Group 3, Census Tract 1114, Salt Lake County, Utah",741,134
1500000US490351114004,4.90351E+11,"Block Group 4, Census Tract 1114, Salt Lake County, Utah",1380,74
1500000US490351114005,4.90351E+11,"Block Group 5, Census Tract 1114, Salt Lake County, Utah",878,92
1500000US490351114006,4.90351E+11,"Block Group 6, Census Tract 1114, Salt Lake County, Utah",1421,58
1500000US490351115001,4.90351E+11,"Block Group 1, Census Tract 1115, Salt Lake County, Utah",1590,83
1500000US490351116001,4.90351E+11,"Block Group 1, Census Tract 1116, Salt Lake County, Utah",1279,137
1500000US490351116002,4.90351E+11,"Block Group 2, Census Tract 1116, Salt Lake County, Utah",1427,148
1500000US490351116003,4.90351E+11,"Block Group 3, Census Tract 1116, Salt Lake County, Utah",2606,43
1500000US490351116004,4.90351E+11,"Block Group 4, Census Tract 1116, Salt Lake County, Utah",1693,29
1500000US490351117011,4.90351E+11,"Block Group 1, Census Tract 1117.01, Salt Lake County, Utah",759,37
1500000US490351117012,4.90351E+11,"Block Group 2, Census Tract 1117.01, Salt Lake County, Utah",2990,138
1500000US490351117013,4.90351E+11,"Block Group 3, Census Tract 1117.01, Salt Lake County, Utah",1902,7
1500000US490351117021,4.90351E+11,"Block Group 1, Census Tract 1117.02, Salt Lake County, Utah",1026,116
1500000US490351117022,4.90351E+11,"Block Group 2, Census Tract 1117.02, Salt Lake County, Utah",1171,121
1500000US490351117023,4.90351E+11,"Block Group 3, Census Tract 1117.02, Salt Lake County, Utah",1503,158
1500000US490351117024,4.90351E+11,"Block Group 4, Census Tract 1117.02, Salt Lake County, Utah",545,49
1500000US490351118011,4.90351E+11,"Block Group 1, Census Tract 1118.01, Salt Lake County, Utah",1825,334
1500000US490351118012,4.90351E+11,"Block Group 2, Census Tract 1118.01, Salt Lake County, Utah",2392,424
1500000US490351118013,4.90351E+11,"Block Group 3, Census Tract 1118.01, Salt Lake County, Utah",1525,165
1500000US490351118021,4.90351E+11,"Block Group 1, Census Tract 1118.02, Salt Lake County, Utah",1359,118
1500000US490351118022,4.90351E+11,"Block Group 2, Census Tract 1118.02, Salt Lake County, Utah",941,125
1500000US490351119031,4.90351E+11,"Block Group 1, Census Tract 1119.03, Salt Lake County, Utah",1545,213
1500000US490351119032,4.90351E+11,"Block Group 2, Census Tract 1119.03, Salt Lake County, Utah",937,243
1500000US490351119033,4.90351E+11,"Block Group 3, Census Tract 1119.03, Salt Lake County, Utah",1671,190
1500000US490351119041,4.90351E+11,"Block Group 1, Census Tract 1119.04, Salt Lake County, Utah",909,28
1500000US490351119042,4.90351E+11,"Block Group 2, Census Tract 1119.04, Salt Lake County, Utah",1636,400
1500000US490351119043,4.90351E+11,"Block Group 3, Census Tract 1119.04, Salt Lake County, Utah",1151,254
1500000US490351119051,4.90351E+11,"Block Group 1, Census Tract 1119.05, Salt Lake County, Utah",1144,143
1500000US490351119052,4.90351E+11,"Block Group 2, Census Tract 1119.05, Salt Lake County, Utah",2300,485
1500000US490351119061,4.90351E+11,"Block Group 1, Census Tract 1119.06, Salt Lake County, Utah",2432,212
1500000US490351119062,4.90351E+11,"Block Group 2, Census Tract 1119.06, Salt Lake County, Utah",1631,102
1500000US490351120011,4.90351E+11,"Block Group 1, Census Tract 1120.01, Salt Lake County, Utah",1303,214
1500000US490351120012,4.90351E+11,"Block Group 2, Census Tract 1120.01, Salt Lake County, Utah",1400,251
1500000US490351120013,4.90351E+11,"Block Group 3, Census Tract 1120.01, Salt Lake County, Utah",726,153
1500000US490351120021,4.90351E+11,"Block Group 1, Census Tract 1120.02, Salt Lake County, Utah",1415,334
1500000US490351120022,4.90351E+11,"Block Group 2, Census Tract 1120.02, Salt Lake County, Utah",707,114
1500000US490351120023,4.90351E+11,"Block Group 3, Census Tract 1120.02, Salt Lake County, Utah",1425,94
1500000US490351120024,4.90351E+11,"Block Group 4, Census Tract 1120.02, Salt Lake County, Utah",604,51
1500000US490351121001,4.90351E+11,"Block Group 1, Census Tract 1121, Salt Lake County, Utah",1475,137
1500000US490351121002,4.90351E+11,"Block Group 2, Census Tract 1121, Salt Lake County, Utah",1972,95
1500000US490351121003,4.90351E+11,"Block Group 3, Census Tract 1121, Salt Lake County, Utah",947,12
1500000US490351121004,4.90351E+11,"Block Group 4, Census Tract 1121, Salt Lake County, Utah",1238,152
1500000US490351121005,4.90351E+11,"Block Group 5, Census Tract 1121, Salt Lake County, Utah",1639,114
1500000US490351122011,4.90351E+11,"Block Group 1, Census Tract 1122.01, Salt Lake County, Utah",1862,334
1500000US490351122012,4.90351E+11,"Block Group 2, Census Tract 1122.01, Salt Lake County, Utah",2162,146
1500000US490351122013,4.90351E+11,"Block Group 3, Census Tract 1122.01, Salt Lake County, Utah",1447,258
1500000US490351122021,4.90351E+11,"Block Group 1, Census Tract 1122.02, Salt Lake County, Utah",1431,126
1500000US490351122022,4.90351E+11,"Block Group 2, Census Tract 1122.02, Salt Lake County, Utah",1473,244
1500000US490351122023,4.90351E+11,"Block Group 3, Census Tract 1122.02, Salt Lake County, Utah",1047,54
1500000US490351123011,4.90351E+11,"Block Group 1, Census Tract 1123.01, Salt Lake County, Utah",791,80
1500000US490351123012,4.90351E+11,"Block Group 2, Census Tract 1123.01, Salt Lake County, Utah",1412,144
1500000US490351123013,4.90351E+11,"Block Group 3, Census Tract 1123.01, Salt Lake County, Utah",1803,218
1500000US490351123021,4.90351E+11,"Block Group 1, Census Tract 1123.02, Salt Lake County, Utah",888,274
1500000US490351123022,4.90351E+11,"Block Group 2, Census Tract 1123.02, Salt Lake County, Utah",718,115
